smiles,mu,gap,cv,TPSA
CC1=Cc2cnnn2C1,5.5737,0.1907,27.151,30.71
c1c(onn1)C(=O)C#N,2.4584,0.1807,24.416,79.78
CC1CC2(COC2C)C1,1.8774,0.3157,35.928,9.23
OCCC1CC=CC1,1.3192,0.2649,31.159,20.23
CC#CC1OCC2OC12,1.8211,0.285,30.68,21.759999999999998
CC1CCC2(OC12)C=O,2.7657,0.2213,32.028,29.6
CC1CC1C1=CNN=C1,2.3002,0.248,31.243,28.68
c1c(oc(n1)N)N,2.9043,0.232,23.545,78.07
CCn1c(ccn1)NC,3.3957,0.2381,34.033,29.85
CN1C2CC1C1(C)OC21,1.6733,0.2847,31.941,15.77
CC1C=CC2NC12,1.4823,0.245,24.126,21.94
OC12CC1C1C(C#C)C21,1.9442,0.2457,32.199,20.23
CC12COC1C(CO)O2,2.7899,0.301,32.691,38.69
CCC1OC2CC2C=C1,1.0558,0.2463,33.201,9.23
c1[nH]c2c(n1)N=CNC2,6.3957,0.1941,26.058,53.07
CCC1=NC(=N)NN=C1,3.3234,0.1579,30.723,65.42
CC(CC1CCO1)C#N,4.6913,0.2975,33.948,33.019999999999996
CC1C(=O)NC2CC12C,3.5447,0.2622,33.827,29.1
C#CCC1CC1C1CC1,0.813,0.3037,35.811,0.0
C1C2C3C4C1C2CCN34,1.3631,0.3098,26.815,3.01
c1c(c(c(nn1)N)F)O,4.1485,0.2018,28.558,72.03
CC1CC(O)CC2OC12,2.3969,0.3292,33.899,32.76
CC(=O)C(=O)C1COC1,1.8312,0.1565,31.907,43.370000000000005
CN1C2CC2(C)NC1=O,3.822,0.2793,33.222,32.34
OCC12CC1C(O)C2,0.8864,0.3199,30.662,40.46
C1CC23CCCC2OC13,1.6847,0.3104,30.177,9.23
O=C1NC(CO1)C#C,4.6049,0.2869,25.53,38.33
OCC1C=CNC1=O,2.625,0.2144,27.867,49.33
CC1(O)CC2CC2C1O,1.5102,0.3155,35.711,40.46
O=CNC1CNC1C=O,2.8809,0.2029,31.021,58.2
[O-]C(=O)C[NH+]1CCC1,5.4039,0.2654,27.88,44.56999999999999
CN=C1C2CC2N1C=O,3.7886,0.2319,30.766,32.67
CC12OC1C(O)C2(C)C,2.1487,0.3208,37.203,32.76
Cc1c(cco1)C#C,0.3606,0.2117,27.605,13.14
CN1C=CC(=O)C1=O,5.7581,0.148,25.584,37.38
CC1COC2CCCC12,1.5515,0.313,32.863,9.23
C#Cc1c([nH]nc1N)N,2.9063,0.2201,33.597,80.72
C1C=C(COC=N1)C#N,2.788,0.213,28.318,45.379999999999995
C#Cc1ccc(nc1)F,2.5918,0.2024,27.12,12.89
CNC1C2CC1(N2)C#N,5.1174,0.2428,31.515,47.849999999999994
OC1(CC1)C1CNC1=O,2.7986,0.2762,33.161,49.33
CCC12CC(O1)C(=O)C2,3.1661,0.2139,31.726,26.3
CC1(CCC1)OCCO,2.3718,0.3314,37.666,29.46
CC(C)(C)CC#CC=O,4.0169,0.2055,39.099,17.07
N=COCC(C#C)C#N,4.0909,0.2731,32.566,56.87
CC1(CC1)c2cnno2,4.357,0.2211,30.253,38.92
CC(C)C1CCN=CO1,2.2797,0.2726,34.94,21.59
CC(CO)N1C=CN=N1,3.2134,0.2578,31.775,50.94
CN(CC#N)CC#N,4.0353,0.2529,29.373,50.82
OC1CCC11CC(=N)O1,3.9723,0.2894,31.898,53.31
O=C1CC2C3C(CN23)C1,2.2846,0.2182,28.027,20.08
CC12CC3=CCN1C23C,0.7779,0.1634,33.155,3.01
CNC(=O)C(N)C#N,2.5378,0.2632,30.743,78.91
