index,selfies,smiles,SA,pred_homo,pred_gap,pred_MolMR,pred_LogP,vgae_score,reward,img_page,img_tile
15505,[C][C][Branch1][C][C][Si][Branch2][=Branch1][N][C][#C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Branch2][Ring1][#Branch1][C][#C][Si][Branch1][=Branch1][C][Branch1][C][C][C][Branch1][=Branch1][C][Branch1][C][C][C][C][Branch1][C][C][C][C][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring2][Ring2][#Branch2][Ring2][Ring1][=Branch1][Branch1][=Branch1][C][Branch1][C][C][C][C][Branch1][C][C][C],CC(C)[Si](C#Cc1c2ccccc2c(C#C[Si](C(C)C)(C(C)C)C(C)C)c2c(-c3ccccc3)c3ccccc3c(-c3ccccc3)c12)(C(C)C)C(C)C,3.561823522246626,-5.3440985679626465,2.4517345428466797,267.6203918457031,17.321706771850586,,1.8611191852837048,mols/page_0773.png,3
7512,[C][C][Branch1][C][C][Branch1][C][C][C][=C][C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][=C][Branch2][=Branch1][Branch1][C][=P][C][Branch2][Ring2][Branch1][C][=C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][C][=C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][C][=C][Ring1][=C][C][Branch1][C][C][Branch1][C][C][C][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][P@@][Ring2][Ring1][=N][=Branch1][C][=O][C][Branch1][C][C][Branch1][C][C][C][C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][=C][Ring2][Ring2][S],CC(C)(C)c1cc(C(C)(C)C)c(C2=PC(c3c(C(C)(C)C)cc(C(C)(C)C)cc3C(C)(C)C)=C(c3ccccc3)[P@@]2(=O)C(C)(C)C)c(C(C)(C)C)c1,4.160824291179817,-6.139549255371094,3.4458439350128174,241.32611083984375,16.103694915771484,,1.732454754128241,mols/page_0373.png,13
1888,[C][C][Branch1][C][C][Branch1][C][C][Si][Branch1][C][F][Branch2][#Branch1][=Branch2][NH0][CH0][C][Branch2][Ring1][#Branch1][Si][Branch1][C][F][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C][=N][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=N][N][Ring2][Ring1][Ring2][Si][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][Si][Branch1][C][F][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C],CC(C)(C)[Si](F)([N][C]1C([Si](F)(C(C)(C)C)C(C)(C)C)=NC(C(F)(F)F)=NN1[Si](C(C)(C)C)(C(C)(C)C)[Si](F)(C(C)(C)C)C(C)(C)C)C(C)(C)C,3.6376867615103743,-6.747444152832031,4.0875163078308105,206.08665466308594,13.709418296813965,,1.5253835943629743,mols/page_0093.png,1
9657,[O][=C][Branch1][=C][N][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][#Branch1][Cl][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch2][Ring2][O][/C][=N][/N][=C][/C][=C][Branch1][C][O][C][Branch2][Ring1][C][C][=Branch1][C][=O][N][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][#Branch1][Cl][=C][C][=C][C][=C][C][=C][Ring2][Ring1][=Branch1][Ring1][=Branch1][=C][Ring2][Ring2][Ring2][O],O=C(Nc1cc(Cl)ccc1Cl)c1cc2ccccc2c(/C=N/N=C/c2c(O)c(C(=O)Nc3cc(Cl)ccc3Cl)cc3ccccc23)c1O,2.782046569846372,-6.4312639236450195,3.241466760635376,191.3609619140625,9.791951179504395,,1.4007374706678202,mols/page_0480.png,18
8827,[C][C][C][C][C][C][C][=C][C][=C][Branch2][Branch1][Ring1][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][C][Ring1][#Branch2][=C][Branch1][S][C][=C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][S][Ring1][O][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring2][Ring1][P][Ring1][#Branch2][S][Ring2][Ring2][=Branch1],CCCCCCc1ccc(-c2c3cc4ccccc4cc3c(-c3ccc(CCCCCC)s3)c3cc4ccccc4cc23)s1,2.9285876456504427,-5.175384521484375,2.9108028411865234,208.0189666748047,14.646768569946289,,1.159418777613352,mols/page_0439.png,8
741,[C][Si][Branch1][C][C][C][C][C@@H1][Branch2][Ring1][Branch1][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][Ring1][=Branch2][C@@H1][Branch2][Ring1][Branch1][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][Ring1][=Branch2][C][Ring2][Ring1][#C],C[Si]1(C)CC[C@@H](OC(=O)c2ccc([N+](=O)[O-])cc2)[C@@H](OC(=O)c2ccc([N+](=O)[O-])cc2)C1,3.0418726759431465,-8.14685344696045,4.719893932342529,119.84638977050781,4.314276218414307,,1.145143845227757,mols/page_0036.png,3
1208,[CH1][C][=C][CH0][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][CH1][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2][CH0][O][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][CH0][Branch2][Ring1][Ring2][C][=C][C][=C][C][=C][CH0][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][=N][O][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring2][Ring1][P][Ring2][Ring1][Branch2],[CH]1C=C[C]2C(=C1)C1=C[CH]C=CC1=C2[C]1OC(c2ccccc2)=C2[C](C3=C4C=CC=C[C]4c4ccccc43)OC(c3ccccc3)=C12,3.3322597010436934,-5.232033729553223,2.206902503967285,189.5015106201172,10.311726570129395,,1.1406009457100632,mols/page_0059.png,3
6828,[C][C][C][C][C][C][C][C][N][C][=Branch1][C][=O][C][=C][S][C][Branch2][Ring1][O][C][S][C][=C][C][=Ring1][Branch1][C][=Branch1][C][=O][N][Branch1][=Branch2][C][C][C][C][C][C][C][C][C][Ring1][=C][=O][=C][Ring2][Ring1][#Branch1][C][Ring2][Ring1][O][=O],CCCCCCCCN1C(=O)c2csc(-c3scc4c3C(=O)N(CCCCCCCC)C4=O)c2C1=O,2.477879324999048,-7.0727667808532715,4.0156145095825195,148.65493774414062,7.612401008605957,,1.1314807475513895,mols/page_0339.png,9
7331,[O][=N+1][Branch1][C][O-1][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][=C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][C][=C][Ring1][=Branch2][O][P@][Branch1][C][Cl][NH0][P@@][Branch1][C][Cl][Branch1][N][NH0][PH1][Branch1][C][Cl][Branch1][C][Cl][NH0][Ring1][#Branch2][O][Ring2][Ring1][=Branch2],O=[N+]([O-])c1ccc2c(c1)Cc1cc([N+](=O)[O-])ccc1O[P@]1(Cl)[N][P@@](Cl)([N][PH](Cl)(Cl)[N]1)O2,3.8585555308278687,-8.092844009399414,5.025196075439453,119.47020721435547,6.390496253967285,,1.097167594469027,mols/page_0364.png,12
6363,[C][=C][Branch1][C][C][C][=Branch1][C][=O][N][Branch2][Ring2][#Branch2][C][=Branch1][C][=O][C][=C][C][=C][C][Branch2][Ring1][#Branch2][/C][Branch1][C][Cl][=N][/C][=C][Branch1][=Branch1][C][Branch1][C][C][C][C][=C][C][=C][Ring1][=Branch2][C][Branch1][C][C][C][=N][Ring2][Ring1][Branch1][C][=C][Branch1][=Branch1][C][Branch1][C][C][C][C][=C][C][=C][Ring1][=Branch2][C][Branch1][C][C][C],C=C(C)C(=O)N(C(=O)c1cccc(/C(Cl)=N/c2c(C(C)C)cccc2C(C)C)n1)c1c(C(C)C)cccc1C(C)C,2.7265039021161805,-6.576491832733154,4.0038042068481445,168.70233154296875,9.683647155761719,,1.0804840609757718,mols/page_0316.png,4
