smiles,homo,gap,MolMR,LogP
"CO[C@@H]1C[C@H]2N3Cc4c([C@H](C2=C[C@H]1O)C3)cc1c(c4)OCO1	
",-5.8805,5.478669999999999,79.00780000000005,1.4026999999999998
"CCOC(=O)C(C(=O)OCC)(/C=C/C=C/C(=O)O)C	
",-7.09714,4.98597,67.28880000000002,1.3158999999999998
"OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)c1nn(c(c1OC)C(=O)N)C	
",-6.99573,6.06603,64.99130000000002,-2.3183999999999987
"S=C1N(C[C@H]2N1CCC2)c1ccccc1	
",-5.90526,5.1903500000000005,66.11400000000003,2.2559000000000005
"CCOC(=O)[C@@H]1S[C]([N][C@@]1(O)C(F)(F)F)c1ccccc1	
",-7.31272,5.39265,69.93780000000002,2.0579899999999998
"c1ccc(cc1)C1=C2CCC3=C(S[S@](S1)[C]23)c1ccccc1	
",-5.79301,3.2832899999999996,101.974,6.727290000000004
"O=C1O[C@H]2C(=C1Cl)SCCO2	
",-7.22716,5.15982,41.16900000000001,1.0831
"CSc1ccc2c(c1)N(CC[C@H]1CCCCN1C)c1c(S2)cccc1	
",-5.32509,4.765750000000001,110.68000000000004,5.8856000000000055
"O=N(=O)c1ccc(cc1)/C=C\c1cccc(c1)N(=O)=O	
",-7.21143,4.26975,75.12080000000003,3.6734000000000027
"Cc1cc(C)c(c(c1)C)OC(=O)C#Cc1ccccc1	
",-6.67256,4.6075,79.60800000000003,3.5689600000000024
"O=C(N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)OC(C)(C)C)(C(C)C)C)(C(C)C)C)(C(C)C)C)(C(C)C)C)(C(C)C)C)(C(C)C)C)OCc1ccccc1	
",-6.22841,5.05294,245.77919999999912,6.323700000000011
"CCOC(=O)C1=C(C)NC(=O)N[C@H]1c1cccc(c1)OC	
",-6.4635,5.18427,76.73540000000003,1.8862
"N#CCN1C(=O)[C@H](Cc2ccccc2)N=C(c2c1cccc2)c1ccccc1	
",-6.96638,5.09654,110.42300000000002,4.005480000000003
"O=C(N1[C@H]2[C@]3(CS1(=O)=O)CC[C@H](C2(C)C)C3)[C@@H]1[C@@H]2CC[C@H]([C@H]1C(=O)N1[C@H]3[C@]4(CS1(=O)=O)CC[C@H](C3(C)C)C4)C=C2	
",-6.8892,6.63692,148.28559999999982,3.5486000000000013
"O=C1C=C2[C@H]3CCCC4([C@]3(C)CC[C@@]32O[C@H]1C(C)(C)O3)OCCO4	
",-6.85194,5.20439,85.17500000000007,2.7291000000000007
"CCOC1=CC(O/C/1=N\c1cccc2c1cccc2)(C)C	
",-5.56654,4.166729999999999,85.91600000000005,4.599000000000004
"CN(c1ccc2c3c1c(ccc3[C@]1(O[C@@]2(c2ccc(c3c2c1ccc3N(C)C)N(C)C)C(F)(F)F)C(F)(F)F)N(C)C)C	
",-5.16282,3.75209,159.95899999999966,7.212400000000007
"N#C[C@@H]([C@@H](c1c(C)cc(cc1C)C)O)c1ccc(cc1)C	
",-6.84631,6.1579999999999995,85.14580000000004,4.261060000000003
"CCOC(=O)C1=C(Oc2c([C@H]1C(=O)OCC)c(=O)oc1c2cccc1)NC(CC(C)(C)C)(C)C	
",-6.17523,4.05169,127.43170000000006,4.411200000000004
"C1CCC(CC1)N1[C@H]2[C@@H]1[C@@H](OCc1ccccc1)[C@H]1O[C@@H]2CO1	
",-6.8456600000000005,6.28859,85.92000000000007,2.7124000000000006
"Brc1ccc(cc1)/C=N/n1cnnc1	
",-7.20465,4.64553,57.15600000000001,1.9227999999999994
"O=C1O[C@@](C(=O)N1Nc1ccccc1)(C)c1ccc(cc1)Oc1ccccc1	
",-6.55338,5.54658,103.70170000000002,4.700000000000004
"O=C(Oc1ccccc1C(=O)C)/C=C/c1ccc(cc1)F	
",-7.18793,4.7265,77.51550000000003,3.6471000000000027
"CC1(O)c2cc3CCc4ccc(CCc5cc1c(cc5)CCc2cc3)cc4	
",-6.30588,5.73114,110.22280000000003,4.924800000000005
"c1ccc(nc1)C#Cc1ccccc1C#Cc1ccccn1	
",-6.3479600000000005,4.15629,86.87600000000002,3.276200000000001
"CO[C@@H]1c2ccccc2[C@@H]([C@]2(N1[C@@H]2c1c(Cl)cccc1Cl)C(=O)OC)O	
",-7.0364,5.98418,96.94080000000004,3.6541000000000037
"COC(=O)c1ccccc1[S@@]1[N]S(=O)(=O)c2c1cccc2	
",-6.9653,4.65926,77.66630000000004,2.381800000000001
"O=C(CCc1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C)N/N=C\1/C(=O)Nc2c1cccc2	
",-6.02886,3.51556,123.57920000000004,4.392400000000003
"CC(=O)N(c1ccccc1)c1ccc(cc1)N(=O)=O	
",-7.03401,4.52501,72.35840000000003,3.2794000000000016
"O[C@@H]1C[C@H]2N(C1)C(=O)/C(=C/c1ccc(cc1)N(=O)=O)/[C@@H]2O	
",-7.2428,4.2420100000000005,73.20500000000001,0.31450000000000006
"COc1ccc(cc1)N1[C@H](Cc2c([C@@H]1/C(=C/c1ccccc1)/C)c(oc2C)c1ccccc1)c1ccccc1	
",-5.66603,4.63224,160.07499999999956,9.21222
"N#CC1(C#N)Cc2ccccc2c2c(N3[C@H]1CCC3)cccc2	
",-5.99489,4.8834,89.60900000000004,3.912060000000002
"FC(C1=C2[C@@H]([C@H]3[C@@H](O1)OCCC3)Oc1c(C2=O)cccc1)F	
",-6.97856,4.59521,71.76750000000003,2.9324000000000012
"O=C1OC[C@@]1(C)NS(=O)(=O)c1ccc(cc1)C	
",-7.52711,6.080150000000001,60.86450000000003,0.5888199999999997
"COC(=O)[C@H]([C@@H]1C[C@@H]2[C@@](O1)(O)C[C@H](OS2([O])[O])C)C	
",-8.19736,7.73667,63.53580000000005,0.8609999999999993
"C/C=C(\C(=S)N(Cc1ccccc1)Cc1ccccc1)/C	
",-5.8092,4.81733,94.16000000000004,4.982400000000004
"C[C@@H]1O[C@@H]([C@H](N1C(=O)C(F)(F)F)C)c1ccccc1	
",-7.45111,6.630739999999999,62.09300000000004,2.883300000000001
"CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)C#C)C#C	
",-5.44208,4.00056,104.02500000000008,5.832200000000005
"COc1ccc(cc1)/C=C/[C@@H](C(=O)c1ccc(cc1)C(=O)OC)C	
",-5.99479,3.662,93.30400000000004,4.014000000000003
"CCCCCCc1ccc(s1)c1ccc(s1)c1ccc(s1)Br	
",-5.54464,3.6525800000000004,106.49100000000003,8.090400000000004
"Fc1ccc(cc1)c1[nH]ccc1c1ccncc1	
",-6.10091,4.842499999999999,69.41770000000002,3.8828000000000022
"CN/C(=C(/C(=S)Nc1ccccc1)\C#N)/O	
",-6.4596,4.8189,66.99020000000002,1.93848
"C1=N[CH]N([N]1)CCn1cncn1	
",-7.89796,7.31057,41.65400000000002,-0.7393100000000006
"N#CC1=C[C](c2ccccc2)[C@@H]2C[C@H]1[C](C=C2C#N)c1ccccc1	
",-5.98489,2.95276,96.56300000000002,4.781640000000004
"N#C/C(=c/1\cccc([nH]1)c1ncnc(c1)c1ccccn1)/c1cccc(n1)c1ncnc(c1)c1ccccn1	
",-5.47328,2.79176,146.54269999999974,4.887780000000003
"OCCCC(=O)/C(=C\c1ccc(cc1)N(=O)=O)/C(=O)OC(C)(C)C	
",-7.5132200000000005,4.401730000000001,88.24520000000004,2.661500000000001
"CS[C]1SC(=C([C@H]2N([C]1C#N)C=CC=C2)C(=O)OC)C(=O)OC	
",-5.75764,3.4168600000000002,88.17000000000002,1.9954599999999998
"NNC(=S)c1ccccc1O	
",-6.65641,4.6991700000000005,47.12990000000001,0.5310000000000001
"CC(c1cc(cc2c1O[P@]1([S])S[P@@](O2)([S])c2c3c1cccc3ccc2)C(C)(C)C)(C)C	
",-6.61857,4.21323,144.9269999999998,8.8238
"C1CCCC2=CCCN3[C@@H]2O[C@@H](CCCCCCC2=CCCN4CC[C@H](CC1)O[C@H]24)CC3	
",-6.3738,6.552350000000001,130.50600000000003,6.175400000000007
"O=C(c1c2nonc2c(cc1N(=O)=O)N(=O)=O)C(=O)c1ccccc1	
",-8.04325,3.6243600000000002,80.21579999999997,2.1048
"Cc1ccc(c(c1)[C@]1(C)C[C@@H](C1)c1csc(n1)N)C	
",-6.01309,5.77335,81.76940000000003,4.1774400000000025
"O[C@@H](C(=O)N(C1CCCCC1)C1CCCCC1)O[C@H](C(=O)N(C1CCCCC1)C1CCCCC1)O	
",-7.07764,6.96704,134.28260000000003,4.627800000000005
