index,selfies,smiles,SA,pred_mu,pred_gap,pred_cv,pred_TPSA,vgae_score,reward,img_page,img_tile
0,[C][C][C][C][C][Branch1][Ring2][O][Ring1][Branch1][C][Ring1][=Branch1][C][=O],CC12CCC(O1)C2C=O,3.7017904688307013,3.0318315029144287,0.21215340495109558,31.63719940185547,25.80023193359375,,-0.22261866783199685,mols/page_0001.png,0
1,[C][C][C][O][C][C][Ring1][Ring1][C][C],CCCCOCCC,1.5844996950521224,0.8601131439208984,0.3423287868499756,37.466529846191406,8.520450592041016,,0.37994146245531724,mols/page_0001.png,1
2,[F][CH1-1][N],N[CH-]F,1.4891981725766341,2.5794177055358887,0.29508405923843384,21.742910385131836,43.908905029296875,,-0.3261676544124447,mols/page_0001.png,2
3,[C][N][Branch1][C][O][C],CN(C)O,1.502440063862291,1.615193247795105,0.30100423097610474,20.29619789123535,22.467662811279297,,-0.6992635976852357,mols/page_0001.png,3
4,[N][=C][O][C][C][C][Ring1][Ring1][N][C][C][Ring1][Branch2][Ring1][Ring1],N=C1OC2CC2N2CC12,3.381790468830701,2.6072041988372803,0.2448851764202118,28.0270938873291,35.64851379394531,,-0.2888921982048753,mols/page_0001.png,4
5,[C][C][C][O][C][C][Branch1][C][C],CCCOCCC,1.5678467081635288,0.864185094833374,0.3424322009086609,32.50743865966797,8.931771278381348,,0.07828356366449402,mols/page_0001.png,5
6,[C][C][Branch1][C][C][Branch1][=Branch1][C][C][O][Ring1][Ring1][C][C][O][Ring1][Ring1],CC(C)(C1CO1)C1CO1,2.4617904688307006,1.9156941175460815,0.3449738323688507,36.32134246826172,22.273426055908203,,0.6323134799394896,mols/page_0001.png,6
7,[C][C][C][C][Branch1][Ring1][C][O][C][Branch1][C][N][=O],CCCC(CO)C(N)=O,2.061790468830701,3.5752060413360596,0.2736915946006775,39.632198333740234,62.7513427734375,,0.9560947840168257,mols/page_0001.png,7
8,[C][C][C][O][C][C][Ring1][=Branch1][C],CC1CCCOC1,2.007846708163529,1.417521595954895,0.32599616050720215,27.273115158081055,9.359185218811035,,-0.2190378467588411,mols/page_0001.png,8
9,[N][#C][=C],CC#N,1.5091981725766341,3.739722490310669,0.36272087693214417,11.37568473815918,24.212553024291992,,-0.3644949727808394,mols/page_0001.png,9
10,[C][C][C][O][C][C][Ring1][Ring1][C][C],CCCCOCCC,1.5844996950521224,0.8601131439208984,0.3423287868499756,37.466529846191406,8.520450592041016,,0.37994146245531724,mols/page_0001.png,10
11,[C][C][Ring1][Branch1][C][C][C][O][C][C],C=CCCCOCC,1.5844996950521224,1.2304259538650513,0.2698577344417572,34.43603515625,11.857975006103516,,-0.16368387104867282,mols/page_0001.png,11
12,[C][C][=C][C][C][Ring1][Ring2][C][Ring1][=Branch1],C1=C2CCC2C1,1.9518943340952077,0.3624391257762909,0.2494473159313202,22.55603790283203,0.8949140906333923,,-1.2737375639068715,mols/page_0001.png,12
13,[C][N][Branch1][C][O][C],CN(C)O,1.502440063862291,1.615193247795105,0.30100423097610474,20.29619789123535,22.467662811279297,,-0.6992635976852357,mols/page_0001.png,13
14,[N][#C][C][=Branch1][C][=O][N-1][C][C][C][NH2+1][Ring1][Ring1],N#CC(=O)[N-]CC1C[NH2+]1,1.981790468830701,6.607614040374756,0.22513538599014282,30.50324249267578,71.16816711425781,,0.8208869622936144,mols/page_0001.png,14
15,[C][#C][C][C][Branch1][Ring1][Ring1][C][C][Ring1][Ring1][Ring1][Branch1][C][C][C][O][C][Ring1][Branch1],C1#CC2(C3CCOC3)C=C12,2.4396683620478212,1.9839540719985962,0.2044341117143631,30.64344596862793,11.42974853515625,,-0.639799304705348,mols/page_0001.png,15
16,[C][O][C][C][C][Ring1][Branch1][C][C],CCC1CCOC1,2.007846708163529,1.6757328510284424,0.32122668623924255,27.66098976135254,9.65968132019043,,-0.1648121324948591,mols/page_0001.png,16
17,[F][N-1][#C][O-1],[O-]C[N-]F,1.482440063862291,4.625485420227051,0.2772907316684723,25.869768142700195,36.51337814331055,,0.24858604515160287,mols/page_0001.png,17
18,[C][C][C][Branch1][Ring1][C][C][O][C][C][Ring1][Ring2][C][Ring1][=Branch1],CCC1OCC2CC1C2,2.7217904688307013,1.3618308305740356,0.32345569133758545,33.55369186401367,8.053746223449707,,0.13254339539217047,mols/page_0001.png,18
19,[C][N][O][C][C][Branch1][Ring1][C],CCCONC,1.5318943340952076,1.5518542528152466,0.3024824559688568,30.737590789794922,19.259706497192383,,-0.07696245398024257,mols/page_0001.png,19
20,[C][C][C][O][C][C][Branch1][C][C],CCCOCCC,1.5678467081635288,0.864185094833374,0.3424322009086609,32.50743865966797,8.931771278381348,,0.07828356366449402,mols/page_0002.png,0
21,[C][O][C][C][N][C][C][Ring1][Ring2][Branch1][Ring2][O][Ring1][Branch2][C][Ring1][#Branch1][Ring1][Branch1],C1OC2C3N4CC3(O1)C24,4.861790468830701,1.3241448402404785,0.3170493245124817,24.803756713867188,20.39004898071289,,-0.3969169978555126,mols/page_0002.png,1
22,[C][C][C][O][C][C][N][C][C][Ring1][Branch1][C][C][Branch1][C],CCCOC1CNCC1CC,2.5780915038517307,1.2912510633468628,0.30897942185401917,39.260108947753906,22.137937545776367,,0.44247103466879084,mols/page_0002.png,2
23,[O][C][=C][C][C][C][O][C][C][Ring1][Ring1][C][C][Branch1][C][C],CCCCCOCCCC=CO,1.6792796155449357,1.7545390129089355,0.29792869091033936,42.8212776184082,27.895769119262695,,0.7249118011918071,mols/page_0002.png,3
