index,selfies,smiles,SA,pred_D,pred_P,pred_EG,pred_r0,vgae_score,reward,img_page,img_tile
0,[=C][Branch1][Ring1][=Branch2][Cl][N+1][S][=Branch1][=Ring1][/N][Ring2][#Branch2][S][F][Ring1][#Branch1][Ring1][/N+1][Ring2][/N][#N][C@@H1][/C][/N][=Ring2],NS1(F)[N+]C1Cl,2.4118943340952073,1.2087483042923695,1.265645743882625,1.445339282318038,0.8416038648786905,,1.2808946114588329,mols/page_0001.png,0
1,[N][N][N][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][Ring1][Branch2][N+1][=Branch1][C][=O][O-1],Nn1nc([N+](=O)[O-])cc1[N+](=O)[O-],1.3770246155449357,0.8683984421048996,0.8485306351916668,0.9689169158858801,0.7288139695840793,,0.8896804326369016,mols/page_0001.png,1
2,[O][=N+1][Branch1][C][O-1][C][=N][C][=N][N][Branch2][Ring2][P][C],CNN=CN=C[N+](=O)[O-],1.501790468830701,-1.6205336604448686,-1.6898131823954825,-1.5099887588677885,-2.366065572199944,,-1.6681887714771977,mols/page_0001.png,2
3,[O][=N+1][Branch1][C][O-1][C][N][C][=C][Ring1][Branch2][N+1][=Branch1][C][=O][O-1],O=[N+]([O-])C=CNC[N+](=O)[O-],1.4996683620478217,-0.31764961893306765,-0.5493890994011219,-0.3416761504310552,-1.292657449137777,,-0.4826958846697472,mols/page_0001.png,3
4,[O][=N+1][Branch1][C][O-1][C][=C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][Branch2][Branch1][Ring2][C][=C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][Branch2][Ring1][N][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][Ring1][N][N+1][=Branch1][C][=O][O-1][C][=C][Ring2][Ring1][Branch2][N+1][=Branch1][C][=O][O-1][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][Ring2][Ring2][#Branch1],O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2cc([N+](=O)[O-])c(-c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,2.326550083696136,-0.9115303691275897,-0.7566571615554245,-0.965791201320204,0.21913368613633918,,-0.7814499945852013,mols/page_0001.png,4
5,[O][=N+1][Branch1][C][O-1][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1],O=[N+]([O-])C=C[N+](=O)[O-],1.4844996950521225,1.159079774877526,1.0853206260745547,1.0881108342793637,0.44080483113029084,,1.0404249170627948,mols/page_0001.png,5
6,[C][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][Branch1][C][N][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][Ring1][S][N+1][=Branch1][C][=O][O-1],Cc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],1.6239038473124212,-0.18115818723292074,-0.17038987222636487,-0.1349296773260872,0.17991008472414738,,-0.12386787732284156,mols/page_0001.png,6
7,[O][=C][Branch2][Ring1][#Branch1][O][C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][N+1][=Branch1][C][=O][O-1][C][=C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][Ring1][N],O=C(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,1.8436858610047382,-0.26978801776557687,-0.24775748718639248,-0.41306389587637443,0.08868753744629854,,-0.28574318084391226,mols/page_0001.png,7
8,[O][=N+1][Branch1][C][O-1][=C][C][N][N][Branch2][Ring2][#Branch1][C][=N][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1],O=[N+]([O-])CCNNC=NC[N+](=O)[O-],1.576437499842364,-1.0904186224784507,-1.3582245935541288,-0.8511405709628019,-2.2729180904372064,,-1.1799088414369863,mols/page_0001.png,8
9,[O-1][N+1][O][N][=C][C][=Ring1][Branch1][C][=N][O][N+1][Branch1][C][O-1][=C][Ring1][=Branch1][C][=N][O][N+1][Branch1][C][O-1][=C][Ring1][=C][Ring1][=Branch1],[O-][n+]1onc2c1c1no[n+]([O-])c1c1no[n+]([O-])c21,1.1798833105991513,1.9072957660252925,2.387973495294396,2.416858693307403,3.0834349751381906,,2.3489042901667023,mols/page_0001.png,9
